"","MSSubClass_20","MSSubClass_30","MSSubClass_50","MSSubClass_60","MSSubClass_120","MSSubClass_160","MSZoning_C..all.","MSZoning_FV","MSZoning_RL","MSZoning_RM","LotFrontage","LotArea","Street_Pave","LotShape_IR2","LandContour_Bnk","LandContour_HLS","Utilities_AllPub","LotConfig_CulDSac","LotConfig_FR2","LandSlope_Mod","LandSlope_Sev","Neighborhood_BrkSide","Neighborhood_ClearCr","Neighborhood_Crawfor","Neighborhood_Edwards","Neighborhood_MeadowV","Neighborhood_Mitchel","Neighborhood_NoRidge","Neighborhood_NridgHt","Neighborhood_Somerst","Neighborhood_StoneBr","Neighborhood_Veenker","Condition1_Artery","Condition1_Norm","Condition1_PosA","Condition1_PosN","Condition1_RRAe","Condition1_RRAn","Condition1_RRNn","Condition2_PosA","Condition2_PosN","BldgType_1Fam","BldgType_Twnhs","BldgType_TwnhsE","HouseStyle_1.5Unf","HouseStyle_2.5Fin","HouseStyle_2.5Unf","HouseStyle_2Story","OverallQual_1","OverallQual_2","OverallQual_3","OverallQual_4","OverallQual_5","OverallQual_7","OverallQual_8","OverallQual_9","OverallQual_10","OverallCond_3","OverallCond_4","OverallCond_5","OverallCond_7","OverallCond_8","OverallCond_9","YearBuilt","YearRemodAdd","RoofStyle_Gambrel","RoofMatl_Membran","RoofMatl_Metal","RoofMatl_WdShngl","Exterior1st_BrkComm","Exterior1st_BrkFace","Exterior1st_CemntBd","Exterior1st_HdBoard","Exterior1st_ImStucc","Exterior1st_Stone","Exterior1st_VinylSd","Exterior1st_Wd.Sdng","Exterior2nd_CBlock","Exterior2nd_CmentBd","Exterior2nd_ImStucc","Exterior2nd_Other","Exterior2nd_VinylSd","MasVnrType_BrkCmn","MasVnrType_Stone","MasVnrArea","ExterQual_Ex","ExterQual_TA","ExterCond_Ex","ExterCond_Fa","ExterCond_Po","Foundation_CBlock","Foundation_PConc","Foundation_Stone","Foundation_Wood","BsmtQual_Ex","BsmtQual_TA","BsmtCond_Po","BsmtExposure_Gd","BsmtExposure_No","BsmtFinType1_GLQ","BsmtFinType1_LwQ","BsmtFinType1_Unf","BsmtFinSF1","BsmtFinType2_ALQ","BsmtFinType2_BLQ","BsmtFinSF2","TotalBsmtSF","Heating_GasA","Heating_GasW","Heating_Grav","HeatingQC_Ex","HeatingQC_TA","CentralAir_N","CentralAir_Y","Electrical_SBrkr","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual_Ex","KitchenQual_TA","TotRmsAbvGrd","Functional_Maj2","Functional_Mod","Functional_Sev","Functional_Typ","Fireplaces","FireplaceQu_Ex","FireplaceQu_Po","GarageType_2Types","GarageType_Basment","GarageType_BuiltIn","GarageYrBlt","GarageFinish_Unf","GarageCars","GarageArea","GarageQual_Ex","GarageQual_Fa","GarageQual_Gd","PavedDrive_Y","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MoSold","YrSold","SaleType_Con","SaleType_ConLD","SaleType_CWD","SaleType_New","SaleType_Oth","SaleType_WD","SaleCondition_Abnorml","SaleCondition_Family","salePrices"
"1",0,0,0,1,0,0,0,0,1,0,0.245810055865922,0.102935460186292,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2003,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.142235123367199,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.308566433566434,0,0,0,0.266999376169682,1,0,0,1,0,0,1,1,0.14974182444062,0.413559322033898,0,0.316904652233994,0.333333333333333,0,0.5,0.5,0.375,0.333333333333333,0,0,0.5,0,0,0,1,0,0,0,0,0,0,2003,0,0.4,0.368279569892473,0,0,0,1,0,0.0822102425876011,0,0,0,0,2,2008,0,0,0,0,0,1,0,0,12.2476991163726
"2",1,0,0,0,0,0,0,0,1,0,0.329608938547486,0.119491513223248,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1976,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.427447552447552,0,0,0,0.393636930754835,1,0,0,1,0,0,1,1,0.266207687894435,0,0,0.213726393367112,0,0.5,0.5,0,0.375,0.333333333333333,0,1,0.333333333333333,0,0,0,1,0.25,0,0,0,0,0,1976,0,0.4,0.309139784946237,0,0,0,1,0.342528735632184,0,0,0,0,0,5,2007,0,0,0,0,0,1,0,0,12.1090164423137
"3",0,0,0,1,0,0,0,0,1,0,0.262569832402235,0.143245850189315,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2001,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.117561683599419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.212412587412587,0,0,0,0.286961946350593,1,0,0,1,0,0,1,1,0.168100975329891,0.419370460048426,0,0.334408106863197,0.333333333333333,0,0.5,0.5,0.375,0.333333333333333,0,0,0.333333333333333,0,0,0,1,0.25,0,0,0,0,0,2001,0,0.4,0.408602150537634,0,0,0,1,0,0.0566037735849057,0,0,0,0,9,2008,0,0,0,0,0,1,0,0,12.3171711672987
"4",0,0,0,0,0,0,0,0,1,0,0.217877094972067,0.118771684830336,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1915,1970,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0944055944055944,0,0,0,0.235807860262009,1,0,0,0,0,0,1,1,0.17986230636833,0.366101694915254,0,0.318516812528789,0.333333333333333,0,0.25,0,0.375,0.333333333333333,0,0,0.416666666666667,0,0,0,1,0.25,0,0,0,0,0,1998,1,0.6,0.431451612903226,0,0,0,1,0,0.0471698113207547,0.465753424657534,0,0,0,2,2006,0,0,0,0,0,1,1,0,11.8494048444231
"5",0,0,0,1,0,0,0,0,1,0,0.35195530726257,0.186579519442565,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.253991291727141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.286276223776224,0,0,0,0.357142857142857,1,0,0,1,0,0,1,1,0.232644865174986,0.509927360774818,0,0.429295255642561,0.333333333333333,0,0.5,0.5,0.5,0.333333333333333,0,0,0.583333333333333,0,0,0,1,0.25,0,0,0,0,0,2000,0,0.6,0.561827956989247,0,0,0,1,0.220689655172414,0.113207547169811,0,0,0,0,12,2008,0,0,0,0,0,1,0,0,12.4292201968364
"6",0,0,1,0,0,0,0,0,1,0,0.357541899441341,0.184492017103123,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1993,1995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.31993006993007,0,0,0,0.248284466625078,1,0,0,1,0,0,1,1,0.132530120481928,0.27409200968523,0,0.236757254721327,0.333333333333333,0,0.25,0.5,0.125,0.333333333333333,0,1,0.25,0,0,0,1,0,0,0,0,0,0,1993,1,0.4,0.32258064516129,0,0,0,1,0.0459770114942529,0.0404312668463612,0,0.62992125984252,0,0,10,2009,0,0,0,0,0,1,0,0,11.8706069022246
"7",1,0,0,0,0,0,0,0,1,0,0.301675977653631,0.126459452066627,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2004,2005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.134978229317852,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.598339160839161,0,0,0,0.525888958203369,1,0,0,1,0,0,1,1,0.390131956397017,0,0,0.313219714417319,0.333333333333333,0,0.5,0,0.375,0.333333333333333,0,0,0.416666666666667,0,0,0,1,0.25,0,0,0,0,0,2004,0,0.4,0.42741935483871,0,0,0,1,0.293103448275862,0.0768194070080863,0,0,0,0,8,2007,0,0,0,0,0,1,0,0,12.634606283893
"8",0,0,0,1,0,0,0,0,1,0,0.269864778292886,0.130749629288378,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1973,1973,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.174165457184325,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.375437062937063,0,1,0.0209698558322412,0.345290081097941,1,0,0,1,0,0,1,1,0.221744119334481,0.476029055690073,0,0.404421925380009,0.333333333333333,0,0.5,0.5,0.375,0.333333333333333,0,1,0.416666666666667,0,0,0,1,0.5,0,0,0,0,0,1973,0,0.4,0.325268817204301,0,0,0,1,0.270114942528736,0.274932614555256,0.39041095890411,0,0,0,11,2009,0,0,0,0,0,1,0,0,12.2060776455177
"9",0,0,1,0,0,0,0,0,0,1,0.167597765363128,0.0693914570766329,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1931,1950,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0.296943231441048,1,0,0,0,0,0,1,0,0.197360872059667,0.364164648910412,0,0.331644403500691,0,0,0.5,0,0.25,0.666666666666667,0,1,0.5,0,0,0,0,0.5,0,0,0,0,0,1931,1,0.4,0.314516129032258,0,1,0,1,0.103448275862069,0,0.351027397260274,0,0,0,4,2008,0,0,0,0,0,1,1,0,11.7745279008585
"10",0,0,0,0,0,0,0,0,1,0,0.162011173184358,0.0881069952923223,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1939,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.371940559440559,0,0,0,0.309107922645041,1,0,0,1,0,0,1,1,0.213138267355135,0,0,0.171119299861815,0.333333333333333,0,0.25,0,0.25,0.666666666666667,0,1,0.25,0,0,0,1,0.5,0,0,0,0,0,1939,0,0.2,0.137768817204301,0,0,1,1,0,0.00539083557951483,0,0,0,0,1,2008,0,0,0,0,0,1,0,0,11.6784483779882
